"System Name","Body Name","Body Subtype","Is Terraformable","Distance To Arrival","Estimated Scan Value","Estimated Mapping Value","Jumps"
"21 Eridani","21 Eridani ABCD 6","Water world","No","2272","135768","452559","2"
"42 Xi Eridani","42 Xi Eridani 1","Metal-rich body","No","151","36048","120159","2"
"42 Xi Eridani","42 Xi Eridani 5","High metal content world","Yes","2913","177959","593196","0"
"HIP 19946","HIP 19946 1","Metal-rich body","No","9","32954","109846","2"
"HIP 18863","HIP 18863 A 1","Metal-rich body","No","53","35591","118636","2"
"HIP 18863","HIP 18863 A 3","Metal-rich body","No","103","32657","108856","0"
"HIP 18863","HIP 18863 A 4","Metal-rich body","No","124","36869","122896","0"
"HIP 19552","HIP 19552 2","High metal content world","Yes","671","172596","575319","1"
"HIP 19552","HIP 19552 3","High metal content world","Yes","813","191983","639943","0"
"HIP 21557","HIP 21557 6","High metal content world","Yes","1870","166629","555429","1"
"HIP 21557","HIP 21557 7","High metal content world","Yes","2389","162510","541699","0"
"HR 1293","HR 1293 4 a","Rocky body","Yes","2548","140464","468213","2"
"HIP 19489","HIP 19489 B 3","Water world","No","282978","94986","316619","1"
"HIP 19489","HIP 19489 B 1","High metal content world","Yes","283463","154550","515166","0"
"HIP 19489","HIP 19489 B 2","Water world","Yes","283820","263370","877899","0"
"HIP 24723","HIP 24723 5","High metal content world","Yes","804","175608","585359","2"
"HIP 22031","HIP 22031 1","Metal-rich body","No","11","32160","107199","1"
"HIP 22031","HIP 22031 8","Water world","No","655","128137","427123","0"
"HIP 21125","HIP 21125 3","Ammonia world","No","956","142635","475449","1"
"HIP 23189","HIP 23189 A 3","High metal content world","Yes","373","168983","563276","2"
"HIP 23189","HIP 23189 A 5","Water world","Yes","482","279320","931066","0"
"HIP 23189","HIP 23189 A 4","High metal content world","Yes","484","170266","567553","0"
"HR 1984","HR 1984 B 7","High metal content world","Yes","300656","187999","626663","1"
"HR 2049","HR 2049 A 5","High metal content world","Yes","2978","191662","638873","1"
